NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MASS,MSTAR,I
,mjupiter,au,day,,deg,jd,m/s,,,,,mjupiter,msun,deg
Kepler-494 b,,0.0809789,8.02511821,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.218701,1.1,
Kepler-169 f,,0.38452,87.090195,,90,2455020.3184,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0206381,,
Kepler-283 b,,0.0968462,11.008151,,90,2454976.22626,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0158724,,
rho CrB b,1.06409,0.225692,39.8449,0.057,303,2450563.2,64.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Noyes 1997,http://adsabs.harvard.edu/abs/1997ApJ...483L.111N,1.06409,0.965,
Kepler-214 b,,0.122502,15.660544,,90,2454979.34895,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0210192,,
Kepler-700 b,,0.363536,80.8720639,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.12013,0.98,
Kepler-1549 b,,0.672832,214.886545,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.020474,0.88,
Kepler-730 b,,0.0681049,6.49168426,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.542157,1,
Kepler-1515 b,,0.764923,214.3114164,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.383964,1.3,
Kepler-1424 b,,0.188549,29.6091744,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00485109,1.02,
Kepler-314 b,,0.0356743,2.461069,,90,2454966.31441,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.00150361,,
Kepler-188 c,,0.0645963,5.996553,,90,2455005.50314,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0303861,,
Kepler-731 b,,0.0485975,3.85560355,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1,1.03,
Kepler-1338 b,,0.018961,0.93511806,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00215846,1.04,
Kepler-233 b,,0.0813349,8.472382,,90,2455007.16212,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0188614,,
Kepler-1530 c,,0.0580264,5.3227406,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0122275,0.92,
Kepler-118 b,,0.0751093,7.518496,,90,2454965.53666,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.014454,,
