kepid,koi_period,koi_prad,koi_steff
8481129,16.3012727,1.54,4873.0
11303322,38.1303324,1.54,6370.0
7134976,11.18719905,1.55,4986.0
6934291,0.567856484,1.55,5073.0
9006449,12.64504291,1.55,5607.0
9838949,4.88084456,1.55,4929.0
7663405,5.1443645,1.55,5157.0
11460462,5.03728033,1.55,6387.0
6521045,35.3331932,1.55,5788.0
6586746,6.26404774,1.55,5032.0
8845205,18.47762694,1.55,3395.0
8222813,2.46697039,1.56,5074.0
7449541,3.00725068,1.56,5667.0
5511081,9.34145925,1.56,5951.0
12058204,16.7261969,1.56,5588.0
9395024,4.37033233,1.56,5657.0
9730163,4.871223664,1.56,3157.0
9838468,54.4099612,1.56,5746.0
3544595,4.72674037,1.56,5648.0
10554999,2.735900074,1.56,5299.0
3745690,7.0257409,1.56,5767.0
8017703,44.0003975,1.56,4859.0
11284772,207.24785,1.56,4339.0
8183288,66.6504521,1.56,4550.0
9466668,1.620467654,1.57,5553.0
7439316,2.617028373,1.57,4831.0
2304320,16.54081386,1.57,5064.0
6205897,4.417692516,1.57,4766.0
5080636,4.194496867,1.57,3706.0
2989404,1.6783263,1.57,6015.0
5364071,2.576571021,1.57,3834.0
9390653,9.549277089,1.57,3547.0
9881662,91.3514816,1.57,5945.0
8773015,15.604841,1.57,6254.0
8494410,7.2593226,1.57,5914.0
8288947,3.75574267,1.58,5311.0
11547505,0.938466959,1.58,5499.0
9821454,17.9776037,1.58,6296.0
8013439,13.39155154,1.58,6197.0
11670125,1.217000383,1.58,4859.0
10068659,11.47685263,1.58,5550.0
11768142,38.0970717,1.58,3554.0
5866724,8.13121389,1.58,6181.0
6425957,20.30652862,1.58,4121.0
3867615,20.0983676,1.58,6053.0
10872983,2.56658897,1.59,6046.0
2837111,8.7348852,1.59,5982.0
11032227,7.19304935,1.59,6185.0
11457726,6.22161107,1.59,6277.0
10130039,25.0985083,1.59,5782.0
10670119,14.87149773,1.59,3825.0
6021193,7.54235832,1.59,5711.0
11360805,26.7838935,1.59,5242.0
11037511,3.11604194,1.59,5591.0
7175184,5.88527364,1.59,6070.0
7175184,10.10463142,1.59,6070.0
3446746,13.14496741,1.59,5411.0
5688790,8.07394097,1.59,3675.0
11192998,1.55400389,1.59,5409.0
11014932,15.0549356,1.6,5616.0
10905746,9.8786461,1.6,3609.0
7808587,6.24145791,1.6,5810.0
5301750,4.22453631,1.6,6036.0
2307415,4.6126736,1.6,6140.0
10489345,1.003931703,1.6,4949.0
7457296,3.97076603,1.6,5178.0
9278725,1.104462494,1.6,5002.0
4458082,4.89336495,1.6,6688.0
4249725,12.7945474,1.6,4090.0
11308499,3.28192056,1.6,5859.0
10028535,0.663085361,1.6,5172.0
11244137,2.03387483,1.6,5282.0
6584273,51.1104797,1.6,5968.0
11358389,17.7838298,1.6,6014.0
11336883,7.16893064,1.61,6221.0
10055126,19.7383992,1.61,5903.0
9489524,16.33269981,1.61,5208.0
8611832,45.3486381,1.61,5610.0
12120307,12.13070414,1.61,6398.0
10098844,47.4497134,1.61,6007.0
8037145,5.433132902,1.61,4963.0
6106282,101.1107014,1.61,4133.0
10153855,1.06378861,1.61,5265.0
5436502,2.090811305,1.62,5739.0
8150320,4.617490562,1.62,4500.0
3240158,15.9868932,1.62,6049.0
10154388,12.06222962,1.62,5547.0
9455556,3.70122061,1.62,5616.0
6310636,0.921030497,1.62,5843.0
2989404,3.553831111,1.62,6015.0
1996180,3.02558494,1.62,6123.0
5272233,9.02436414,1.62,5885.0
10908248,39.859505,1.62,5675.0
8480582,18.5010898,1.62,5242.0
5965819,3.54553077,1.62,5794.0
10080248,14.8783945,1.63,5822.0
7901948,2.578852119,1.63,5743.0
11669125,70.6981724,1.63,5811.0
8277797,4.33722007,1.63,5390.0
7604328,4.35407371,1.63,5455.0
9008737,14.7512034,1.63,5653.0
8616637,3.763041531,1.63,5103.0
4757437,4.42535097,1.63,5946.0
5709725,3.701765401,1.63,5252.0
10460984,5.03505665,1.63,5888.0
8344004,2.06190864,1.63,5622.0
9183378,3.38557445,1.63,5718.0
4381429,16.473474,1.63,5364.0
2584163,14.5598556,1.64,5959.0
11954842,12.98494603,1.64,5948.0
8042453,11.17392077,1.64,5911.0
6768394,7.1329472,1.64,5862.0
7107802,10.41728722,1.64,5557.0
10973664,1.208462378,1.64,6122.0
8507475,3.58273837,1.64,5448.0
6949607,8.98581901,1.65,4072.0
10166274,3.353732008,1.65,3789.0
6198999,3.93246069,1.65,4841.0
4055304,0.571038347,1.65,5132.0
7204981,5.1233204,1.65,5364.0
