source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val
65613669923486336,58.393063457699846,0.05134139142389523,23.14947124809432,0.02490266637241277,1.1507607979981236,0.054115500578441014,3.49148112468143,-14.377901720792503,15.832853,16.467781,15.0713005,1.3964806,,,NOT_AVAILABLE,4561.547,,0.91595435,0.3272585
65672321996745856,57.89630218771663,0.043709536376054875,23.227090603534588,0.01887515885614619,2.670614165495332,0.04624136806698463,2.0996311305332838,-26.686539155640837,8.590768,9.278319,7.8217206,1.4565988,-37.5739933852164,0.15719705564323702,NOT_AVAILABLE,4520.4,0.6017,11.37491,48.674118
65674211782349056,57.895377307788834,0.05440319038743963,23.2851528141908,0.02592649338178729,0.8082774632522484,0.05597628126517756,7.238136304894124,-7.147811869230345,16.113192,16.645256,15.432231,1.2130251,,,NOT_AVAILABLE,4892.715,0.694,0.9467029,0.46272367
65660296088492032,57.9300901908094,0.04567832600799254,23.191466143118628,0.018281720795158274,2.7851841215703144,0.04898212468578692,13.8984369481735,-14.129594719069587,11.965174,12.325678,11.439579,0.88609886,-37.449218298347134,0.6675173299454444,NOT_AVAILABLE,5718.6196,0.415,1.2791961,1.5766445
65672287637008000,57.87690213913155,0.043762372538475876,23.233609659491627,0.021824761065147014,0.5323577307537797,0.04499337275747441,3.124167445260114,1.4630154684339627,15.613461,16.044075,15.011075,1.033,,,NOT_AVAILABLE,5149.0,,1.5902113,1.6013857
65666790078977152,58.27874638585901,0.0977779433945439,23.35079250185007,0.040859233041017504,1.1952142353584165,0.1102281506387637,-0.4700376152256842,-20.476096511308235,16.809307,17.44247,16.04093,1.4015408,,,NOT_AVAILABLE,4526.08,0.188,0.5752202,0.12509845
65676582604303232,57.79297954714854,0.11980014841405032,23.283987740464358,0.05632545779039545,2.1051994411654564,0.12605104449460694,-0.5127903296905392,-14.699125194801296,17.499866,18.614717,16.43757,2.177147,,,NOT_AVAILABLE,,,,
65627375161150464,58.68469942640196,0.1672975051142232,23.269991507697164,0.06643017788115863,2.3420803617977834,0.15574882434429171,18.8405479170724,-8.066664344393173,17.643555,19.054031,16.431576,2.6224556,,,NOT_AVAILABLE,,,,
65675002056332160,57.85536610959128,0.06657963889526897,23.298529129794986,0.03160192156833295,1.4602920525658856,0.06784201211698698,18.987030109898505,-27.50457184775805,16.378468,17.08129,15.549313,1.5319767,,,NOT_AVAILABLE,4415.01,0.188,0.61740327,0.1304846
65674211782349312,57.89005563086436,0.03481642220252185,23.284712554546964,0.018873660519757005,1.9884005014044965,0.03817808207291598,8.310188800798768,-10.319723322799407,14.58428,15.112333,13.909914,1.2024193,,,NOT_AVAILABLE,4901.0,0.295,0.7747079,0.3119676
