Frequency (GHz)      Flux (Jy)
     42.4883852     -0.0088541
     42.4886352      0.0056577
     42.4888852      0.0022548
     42.4891352      0.0056632
     42.4893852     -0.0096220
     42.4896352     -0.0110160
     42.4898852     -0.0208161
     42.4901352     -0.0132726
     42.4903852     -0.0126064
     42.4906352      0.0150596
     42.4908852      0.0385074
     42.4911352     -0.0009220
     42.4913852      0.0071316
     42.4916352      0.0125881
     42.4918852      0.0096199
     42.4921352      0.0320501
     42.4923852      0.0119478
     42.4926352      0.0284437
     42.4928852      0.0015828
     42.4931352     -0.0048969
     42.4933852      0.0116881
     42.4936352     -0.0089373
     42.4938852      0.0202450
     42.4941352      0.0064065
     42.4943852     -0.0156842
     42.4946352     -0.0051708
     42.4948852     -0.0160929
     42.4951352     -0.0228343
     42.4953852      0.0269611
     42.4956352      0.0015433
     42.4958852     -0.0320673
     42.4961352      0.0201764
     42.4963852      0.0328650
     42.4966352     -0.0194506
     42.4968852      0.0071625
     42.4971352     -0.0119739
     42.4973852      0.0173753
     42.4976352      0.0053443
     42.4978852     -0.0397468
     42.4981352      0.0273268
     42.4983852      0.0058160
     42.4986352      0.0154907
     42.4988852     -0.0047152
     42.4991352     -0.0145559
     42.4993852      0.0077044
     42.4996352      0.0027005
     42.4998852      0.0138114
     42.5001352     -0.0093919
     42.5003852      0.0154663
     42.5006352     -0.0070245
     42.5008852     -0.0129932
     42.5011352      0.0238080
     42.5013852      0.0107564
     42.5016352     -0.0183611
     42.5018852      0.0077827
     42.5021352      0.0180350
     42.5023852     -0.0047172
     42.5026352     -0.0025004
     42.5028852      0.0227339
     42.5031352      0.0022595
     42.5033852      0.0322633
     42.5036352     -0.0195006
     42.5038852      0.0068927
     42.5041352     -0.0261232
     42.5043852      0.0021084
     42.5046352     -0.0024733
     42.5048852      0.0210455
     42.5051352      0.0221902
     42.5053852     -0.0100293
     42.5056352     -0.0141007
     42.5058852      0.0030090
     42.5061352      0.0008480
     42.5063852     -0.0333796
     42.5066352      0.0318872
     42.5068852     -0.0021198
     42.5071352      0.0037711
     42.5073852     -0.0066691
     42.5076352      0.0017477
     42.5078852      0.0158753
     42.5081352      0.0099395
     42.5083852     -0.0095946
     42.5086352      0.0109957
     42.5088852      0.0256014
     42.5091352      0.0033938
     42.5093852      0.0107873
     42.5096352     -0.0122840
     42.5098852     -0.0169800
     42.5101352     -0.0007792
     42.5103852      0.0399700
     42.5106352      0.0117785
     42.5108852      0.0011316
     42.5111352     -0.0173460
     42.5113852      0.0234907
     42.5116352     -0.0258222
     42.5118852      0.0086560
     42.5121352      0.0174174
     42.5123852     -0.0102130
     42.5126352     -0.0040389
     42.5128852      0.0050901
     42.5131352      0.0078202
     42.5133852      0.0028032
     42.5136352      0.0088774
     42.5138852      0.0235447
     42.5141352     -0.0051708
     42.5143852     -0.0133508
     42.5146352      0.0186799
     42.5148852     -0.0139869
     42.5151352      0.0169408
     42.5153852     -0.0108713
     42.5156352      0.0310374
     42.5158852      0.0098914
     42.5161352     -0.0013294
     42.5163852      0.0319335
     42.5166352      0.0091149
     42.5168852      0.0201408
     42.5171352      0.0169879
     42.5173852      0.0044953
     42.5176352      0.0004227
     42.5178852     -0.0270114
     42.5181352      0.0293439
     42.5183852     -0.0174847
     42.5186352      0.0112506
     42.5188852     -0.0282756
     42.5191352      0.0154889
     42.5193852      0.0183075
     42.5196352     -0.0216772
     42.5198852     -0.0095833
     42.5201352     -0.0315192
     42.5203852      0.0156473
     42.5206352      0.0156724
     42.5208852     -0.0028495
     42.5211352      0.0013079
     42.5213852     -0.0125998
     42.5216352     -0.0138349
     42.5218852     -0.0047063
     42.5221352     -0.0005522
     42.5223852     -0.0124737
     42.5226352     -0.0210449
     42.5228852     -0.0131381
     42.5231352     -0.0240395
