tphys,kstar_1,mass_1,lum_1,deltam_1,RRLO_1,kstar_2,mass_2,lum_2,deltam_2,RRLO_2,porb,sep,bin_state,merger_type,bin_num
8.888336468614586,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777373443463656,6993.845884864507,-1.3790104508030612e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.898336468614586,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737330547256,6996.089106649235,-1.3799109566504801e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.908336468614586,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777373167391316,6998.334123374699,-1.3808124394535601e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.918336468614585,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777373029219826,7000.58093630667,-1.3817149000581406e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.928336468614585,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777372890957992,7002.829546712165,-1.3826183393106754e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.938336468614585,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777372752605716,7005.079955859428,-1.3835227580582837e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.948336468614585,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.7773726141629,7007.332165017939,-1.3844281571487274e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.958336468614585,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777372475629447,7009.586175458421,-1.385334537430382e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.968336468614584,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777372337005257,7011.841988452831,-1.3862418997522874e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.978336468614584,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777372198290232,7014.099605274364,-1.3871502449641139e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.988336468614584,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777372059484275,7016.359027197468,-1.388059573916173e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.998336468614584,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777371920587287,7018.620255497818,-1.3889698874594001e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.008336468614583,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777371781599168,7020.883291452339,-1.3898811864453825e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.018336468614583,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777371642519821,7023.148136339203,-1.3907934717263252e-11,0.0001,-1.0,-1.0,2,-001,1002330
