,Designation,Abs Mag,Slope Param,Epoch,Mean anom (deg),Argument of Perihelion (deg),Longitude of Ascending Node (deg),Inclination to Ecliptic (deg),Eccentricity,Mean daily motion (deg/day),Semimajor Axis (AU),Reference,N observation,N oppositions,Readable Designation,Date of last observation
1746,K22U01E,20.7,0.15,K232P,11.52242,43.00818,42.48962,12.68599,0.6702736,0.2217047,2.7036644,MPO733927,32,1,2022 UE1,2023-01-13
1747,K22U02T,20.81,0.15,K232P,43.40688,147.48581,161.34342,13.18179,0.6558112,0.23361905,2.6109419,MPO733927,34,1,2022 UT2,2022-11-13
1748,K22U03N,20.9,0.15,K232P,54.7967,348.03858,354.03113,19.67827,0.544377,0.30186222,2.2008826,MPO718850,22,1,2022 UN3,2022-11-05
1749,K22U07K,21.92,0.15,K232P,216.45479,53.25048,214.12121,44.32406,0.1722586,0.80627661,1.1432644,MPO733928,24,1,2022 UK7,2022-11-06
1750,K22U09D,21.8,0.15,K232P,14.48439,47.73103,93.47819,9.02604,0.4025395,0.55878337,1.4598461,MPO733929,159,1,2022 UD9,2022-12-20
1751,K22U09L,21.93,0.15,K232P,98.31336,112.36806,181.04148,3.82774,0.5838574,0.55213443,1.4715426,MPO733929,95,1,2022 UL9,2022-11-26
1752,K22U11U,21.01,0.15,K232P,340.85072,224.13753,345.34902,14.22922,0.2501292,1.12972998,0.9130326,MPO733929,24,1,2022 UU11,2022-12-23
1753,K22U21S,21.82,0.15,K232P,219.50002,230.90945,26.3607,22.85721,0.3891359,1.09430881,0.9326302,MPO733931,58,1,2022 US21,2022-11-25
1754,K22U21X,20.88,0.15,K232P,38.54473,88.24285,231.13571,0.38111,0.6631092,0.22747509,2.6577461,MPO733931,94,1,2022 UX21,2022-12-15
1755,K22U22C,21.18,0.15,K232P,41.02013,1.65471,46.69719,28.99607,0.462116,0.37871106,1.8920418,MPO733932,152,1,2022 UC22,2022-11-24
1756,K22U28E,21.29,0.15,K232P,357.54135,134.60143,12.98189,17.7413,0.4147966,0.50538704,1.5609416,MPO733932,68,1,2022 UE28,2022-12-23
