Frequency (GHz)      Flux (Jy)
     42.5211352      0.0296350
     42.5213852      0.0135006
     42.5216352     -0.0436859
     42.5218852      0.0402341
     42.5221352      0.0658952
     42.5223852     -0.0330885
     42.5226352     -0.0288842
     42.5228852     -0.0055631
     42.5231352     -0.0185683
     42.5233852      0.0011120
     42.5236352      0.0095099
     42.5238852     -0.0095920
     42.5241352     -0.0207259
     42.5243852      0.0299345
     42.5246352     -0.0419774
     42.5248852      0.0443454
     42.5251352     -0.0202215
     42.5253852      0.0291483
     42.5256352      0.0494201
     42.5258852     -0.0101743
     42.5261352      0.0102087
     42.5263852      0.0042345
     42.5266352      0.0306307
     42.5268852     -0.0008806
     42.5271352     -0.0091353
     42.5273852     -0.0349216
     42.5276352      0.0248404
     42.5278852     -0.0210424
     42.5281352     -0.0181365
     42.5283852      0.0144236
     42.5286352     -0.0138563
     42.5288852      0.0435721
     42.5291352      0.0170483
     42.5293852      0.0027576
     42.5296352      0.0437834
     42.5298852     -0.0803586
     42.5301352      0.0002683
     42.5303852     -0.0378725
     42.5306352      0.0326962
     42.5308852     -0.0099381
     42.5311352     -0.0066463
     42.5313852      0.0113335
     42.5316352     -0.0249473
     42.5318852     -0.0367076
     42.5321352     -0.0258160
     42.5323852      0.0508459
     42.5326352      0.0035681
     42.5328852     -0.0012460
     42.5331352     -0.0190208
     42.5333852     -0.0206778
     42.5336352     -0.0173470
     42.5338852     -0.0231976
     42.5341352     -0.0140414
     42.5343852     -0.0142547
     42.5346352     -0.0215951
     42.5348852     -0.0393453
     42.5351352      0.0449774
     42.5353852      0.0453172
     42.5356352     -0.0280813
     42.5358852     -0.0244340
     42.5361352      0.0073748
     42.5363852     -0.0002080
     42.5366352     -0.0428112
     42.5368852      0.0655065
     42.5371352     -0.0176915
     42.5373852      0.0176283
     42.5376352      0.0189778
     42.5378852     -0.0022805
     42.5381352      0.0342486
     42.5383852     -0.0443337
     42.5386352      0.0031219
     42.5388852     -0.0029633
     42.5391352      0.0030261
     42.5393852      0.0344844
     42.5396352      0.0334109
     42.5398852     -0.0132663
     42.5401352      0.0370780
     42.5403852     -0.0067038
     42.5406352     -0.0326802
     42.5408852     -0.0354666
     42.5411352      0.0085958
     42.5413852     -0.0241945
     42.5416352     -0.0452700
     42.5418852      0.0175735
     42.5421352     -0.0235261
     42.5423852      0.0374583
     42.5426352      0.0116928
     42.5428852      0.0142672
     42.5431352      0.0442555
     42.5433852      0.0359778
     42.5436352     -0.0257705
     42.5438852      0.0137982
     42.5441352     -0.0068660
     42.5443852     -0.0053882
     42.5446352      0.0298218
     42.5448852     -0.0178433
     42.5451352     -0.0030414
     42.5453852      0.0053012
     42.5456352     -0.0084065
     42.5458852      0.0430319
     42.5461352      0.0002259
     42.5463852     -0.0092121
     42.5466352      0.0024740
     42.5468852     -0.0145123
     42.5471352     -0.0182350
     42.5473852      0.0181144
