GRBname T90
GRB111103B 144.776
GRB111103A 11.616
GRB111029A 7.196
GRB111026A 3.58
GRB111022B 83.028
GRB111022A 22.82
GRB111020A 0.384
GRB111018A 32.708
GRB111016A 548.996
GRB111008A 62.848
GRB111005A 23.212
GRB110928A 20.88
GRB110921A 32.548
GRB110915A 79.568
GRB110827A 8.516
GRB110820A 264.616
GRB110818A 102.84
GRB110808A 40.704
GRB110801A 385.256
GRB110731A 40.944
GRB110726A 5.156
GRB110719A 41.228
GRB110715A 13.0
GRB110709B 810.472
GRB110709A 44.328
GRB110625A 42.5
GRB110610A 49.444
GRB110530A 55.728
GRB110521A 96.0
GRB110520A 20.864
GRB110519A 27.184
GRB110503A 58.7
GRB110422A 25.784
GRB110420B 0.08399993
GRB110420A 13.868
GRB110414A 153.116
GRB110412A 24.0
GRB110411A 79.4
GRB110407A 155.568
GRB110402A 56.208
GRB110319B 28.472
GRB110319A 20.68
GRB110318B 4.788
GRB110318A 15.96
GRB110315A 87.676
GRB110312A 35.136
GRB110305A 12.0
GRB110223B 61.448
GRB110223A 7.0
GRB110213A 48.0
GRB110212A 3.7
GRB110210A 192.888
GRB110208A 15.984
GRB110207A 82.58
GRB110205A 249.416
GRB110201A 14.092
GRB110128A 14.152
GRB110119A 213.928
GRB110112A 0.524
GRB110107A 77.0
GRB110106B 43.424
GRB110106A 3.0
GRB110102A 265.916
GRB101224A 0.244
GRB101219B 41.856
GRB101219A 0.8279999
GRB101213A 131.12
GRB101204A 27.2
GRB101201A 60.8
GRB101129A 0.384
GRB101117B 5.172
GRB101114A 8.0
GRB101030A 98.672
GRB101024A 18.692
GRB101023A 80.824
GRB101020A 172.336
GRB101017A 72.232
GRB101011A 70.892
GRB101008A 103.504
GRB100928A 4.16
GRB100924A 71.948
GRB100917A 63.816
GRB100915A 199.196
GRB100906A 114.632
GRB100905A 3.396
GRB100904A 31.248
GRB100902A 428.828
GRB100901A 436.656
GRB100823A 17.736
GRB100816A 2.884
GRB100814A 177.264
GRB100807A 7.744
GRB100805A 16.736
GRB100802A 487.34
GRB100728B 12.08
GRB100728A 193.384
GRB100727A 71.9
GRB100725B 173.696
GRB100725A 123.24
GRB100724A 1.388
GRB100719A 36.0
GRB100704A 196.88
GRB100702A 0.512
GRB100628A 0.03599995
GRB100625A 0.332
GRB100621A 63.552
GRB100619A 97.7
GRB100615A 38.82
GRB100614A 225.0
GRB100606A 67.384
GRB100526B 67.0
GRB100526A 97.6
GRB100522A 48.0
GRB100514A 23.016
GRB100513A 83.496
GRB100508A 49.26
GRB100504A 97.004
GRB100427A 24.0
GRB100425A 38.968
GRB100424A 104.0
GRB100423A 78.868
GRB100420A 62.98
GRB100418A 7.928
GRB100413B 16.0
GRB100413A 192.64
GRB100401A 2.0
GRB100324A 6.4
GRB100322B 1.0
GRB100316D 521.88
GRB100316C 9.268
GRB100316B 3.836
GRB100316A 6.752
GRB100305A 75.616
GRB100302A 17.948
GRB100224A 0.484
GRB100219A 27.572
GRB100216A 0.208
GRB100213B 91.856
GRB100213A 2.216
GRB100212A 163.764
GRB100206A 0.1159999
GRB100205A 25.844
GRB100203A 11.2
GRB100119A 23.068
GRB100117A 0.2919999
GRB100115A 4.0
GRB100111A 14.0
GRB091221 62.9
GRB091208B 14.8
GRB091208A 80.0
GRB091130B 101.76
GRB091127 6.956
GRB091117 0.64
GRB091112 17.52
GRB091109B 0.272
GRB091109A 48.032
GRB091104 107.136
GRB091102 6.648
GRB091029 39.18
GRB091026 174.0
GRB091024 112.28
GRB091020 38.92
GRB091018 4.368
GRB090929B 357.36
GRB090929A 43.248
GRB090927 2.16
GRB090926B 99.284
GRB090916 62.448
GRB090915 9.6
GRB090912 135.516
GRB090904B 64.0
GRB090904A 129.532
GRB090831C 77.952
GRB090827 8.0
GRB090823 25.6
GRB090815C 0.576
GRB090814A 78.064
GRB090813 7.144
GRB090812 74.496
GRB090809A 8.868
GRB090807A 146.352
GRB090728 64.0
GRB090727 301.88
GRB090726 56.676
GRB090720A 4.8
GRB090715B 266.4
GRB090715A 64.0
GRB090712 202.9
GRB090709B 26.944
GRB090709A 88.744
GRB090708 8.708
GRB090628 24.944
GRB090621B 0.14
GRB090621A 219.236
GRB090618 113.34
GRB090607 2.292
GRB090531B 54.996
GRB090531A 42.8
GRB090530 40.456
GRB090529A 70.444
GRB090520 14.4
GRB090519 58.036
GRB090518 85.824
GRB090516A 181.008
GRB090515 0.03600001
GRB090510 5.664
GRB090509 336.376
GRB090429B 5.58
GRB090429A 184.0
GRB090426 1.236
GRB090424 49.46
GRB090423 10.304
GRB090422 8.476
GRB090419 454.244
GRB090418B 38.0
GRB090418A 56.304
GRB090417B 266.94
GRB090417A 0.06799999
GRB090410 165.148
GRB090407 315.472
GRB090404 82.02
GRB090401B 186.504
GRB090401A 117.004
GRB090313 83.04
GRB090309A 3.0
GRB090308A 25.096
GRB090307A 22.0
GRB090306B 21.0
GRB090305A 0.54
GRB090301A 41.372
GRB090205 8.812
GRB090201 74.264
GRB090129 17.624
GRB090123 137.344
GRB090118 13.524
GRB090113 9.096
GRB090111 25.26
GRB090107A 12.084
GRB090102 28.32
GRB081230 60.692
GRB081228 3.0
GRB081226A 0.436
GRB081222 33.0
GRB081221 33.908
GRB081211B 64.0
GRB081211A 3.424
GRB081210 145.908
GRB081203B 161.6
GRB081203A 223.0
GRB081128 102.316
GRB081127 17.3
GRB081126 57.648
GRB081121 17.52
GRB081118 53.404
GRB081109A 221.488
GRB081105A 9.6
GRB081104 64.0
GRB081102 50.32
GRB081101 0.18
GRB081029 275.104
GRB081028A 284.424
GRB081025 22.76
GRB081024A 1.824
GRB081022 157.58
GRB081016B 2.616
GRB081012 28.972
GRB081011 17.088
GRB081008 187.824
GRB081007 9.728
GRB080928 233.66
GRB080919 0.6
GRB080916B 33.544
GRB080916A 61.348
GRB080915B 4.052
GRB080915A 26.288
GRB080913 7.456
GRB080906 148.212
GRB080905B 120.936
GRB080905A 1.016
GRB080903 66.34
GRB080810 107.668
GRB080805 106.624
GRB080804 37.872
GRB080802 179.504
GRB080727C 77.364
GRB080727B 8.664
GRB080727A 4.912
GRB080725 92.736
GRB080723A 17.336
GRB080721 129.696
GRB080714 25.812
GRB080710 142.988
GRB080707 30.164
GRB080703 3.516
GRB080702B 15.412
GRB080702A 0.512
GRB080701 17.816
GRB080623 15.096
GRB080613B 79.448
GRB080607 78.972
GRB080605 18.056
GRB080604 77.608
GRB080603B 59.124
GRB080602 74.288
GRB080524 6.4
GRB080523 48.0
GRB080520 3.324
GRB080517 64.508
GRB080516 5.764
GRB080515 20.864
GRB080506 152.2
GRB080503 176.0
GRB080430 13.872
GRB080426 1.732
GRB080413B 8.0
GRB080413A 46.36
GRB080411 56.328
GRB080409 22.656
GRB080405 64.0
GRB080330 60.364
GRB080328 91.108
GRB080325 166.74
GRB080320 13.816
GRB080319D 26.94
GRB080319C 29.552
GRB080319B 124.86
GRB080319A 43.616
GRB080310 363.212
GRB080307 124.0
GRB080303 67.588
GRB080229A 64.0
GRB080218B 6.528
GRB080218A 22.8
GRB080212 126.312
GRB080210 42.264
GRB080207 292.46
GRB080205 106.296
GRB080130 60.8
GRB080129 50.18
GRB080123 114.912
GRB080121 0.32
GRB071227 142.48
GRB071129 408.08
GRB071122 71.432
GRB071118 105.6
GRB071117 6.076
GRB071112C 44.8
GRB071112B 0.304
GRB071101 4.824
GRB071031 180.644
GRB071028B 51.2
GRB071028A 26.856
GRB071025 241.296
GRB071021 228.72
GRB071020 4.3
GRB071018 273.568
GRB071013 75.584
GRB071011 65.88
GRB071010C 12.8
GRB071010B 36.124
GRB071010A 6.324
GRB071008 17.984
GRB071006 43.2
GRB071003 148.388
GRB071001 57.428
GRB070923 0.03999999
GRB070920B 22.256
GRB070920A 55.76
GRB070917 8.72
GRB070913 2.684
GRB070911 161.724
GRB070810B 0.072
GRB070810A 9.04
GRB070809 1.28
GRB070808 58.432
GRB070805 26.432
GRB070802 15.8
GRB070731 2.856
GRB070729 0.988
GRB070724A 0.432
GRB070721B 336.864
GRB070721A 3.348
GRB070714B 65.636
GRB070714A 3.0
GRB070704 384.936
GRB070628 39.08
GRB070621 33.264
GRB070616 406.876
GRB070612B 18.0
GRB070612A 365.28
GRB070611 13.184
GRB070531 44.62
GRB070529 108.9
GRB070521 38.628
GRB070520B 96.0
GRB070520A 48.0
GRB070518 5.504
GRB070517 7.824
GRB070509 7.828
GRB070508 20.9
GRB070506 5.992
GRB070429B 0.488
GRB070429A 168.0
GRB070427 11.08
GRB070420 77.024
GRB070419B 238.008
GRB070419A 160.0
GRB070412 33.876
GRB070411 115.692
GRB070406 0.816
GRB070330 6.64
GRB070328 72.116
GRB070326 18.0
GRB070318 130.368
GRB070306 209.244
GRB070227 3.2
GRB070224 48.0
GRB070223 128.0
GRB070220 125.396
GRB070219 18.0
GRB070209 0.06800002
GRB070208 64.0
GRB070129 459.748
GRB070110 88.428
GRB070107 370.3
GRB070103 18.408
GRB061222B 37.248
GRB061222A 100.0
GRB061217 0.224
GRB061210 85.232
GRB061202 94.188
GRB061201 0.776
GRB061126 52.624
GRB061121 81.216
GRB061110B 135.248
GRB061110A 44.508
GRB061102 45.544
GRB061028 105.812
GRB061021 47.82
GRB061019 180.384
GRB061007 75.736
GRB061006 129.792
GRB061004 6.26
GRB061002 17.628
GRB060929 552.96
GRB060927 22.416
GRB060926 8.824
GRB060923C 73.728
GRB060923B 8.948
GRB060923A 58.492
GRB060919 9.0
GRB060912A 5.028
GRB060908 19.296
GRB060906 44.588
GRB060904B 189.98
GRB060904A 80.06
GRB060825 7.976
GRB060814 145.072
GRB060813 15.968
GRB060807 54.048
GRB060805A 4.928
GRB060804 18.188
GRB060801 0.504
GRB060729 113.044
GRB060719 66.92
GRB060717 3.0
GRB060714 116.064
GRB060712 30.912
GRB060708 10.028
GRB060707 66.644
GRB060614 109.104
GRB060607B 31.584
GRB060607A 103.032
GRB060605 79.84
GRB060604 96.0
GRB060602A 74.836
GRB060526 298.04
GRB060522 69.124
GRB060516 128.0
GRB060515 52.372
GRB060512 8.4
GRB060510B 262.936
GRB060510A 20.148
GRB060507 183.308
GRB060505 4.0
GRB060502B 0.144
GRB060502A 28.448
GRB060501 25.628
GRB060428B 96.0
GRB060428A 39.48
GRB060427 62.0
GRB060424 37.68
GRB060421 11.996
GRB060418 109.08
GRB060413 141.124
GRB060403 30.588
GRB060323 23.872
GRB060322 229.472
